1.583134233951568604e-01,-1.233017537742853165e-02,-1.608638092875480652e-03,3.290761947631835938e+00,-6.485529541969299316e-01,2.160566568374633789e+00
1.487779468297958374e-01,-2.131631411612033844e-02,-5.632394924759864807e-03,4.104185998439788818e-01,-3.387147665023803711e+00,-3.628144979476928711e+00
1.368970572948455811e-01,4.441982135176658630e-02,-8.554926142096519470e-03,5.251120328903198242e-01,-4.904148876667022705e-01,2.130363509058952332e-02
2.085445821285247803e-01,-1.923661679029464722e-02,-3.359073400497436523e-02,8.634250760078430176e-01,1.223453879356384277e+00,-8.313846588134765625e-01
2.109697461128234863e-01,-8.416177704930305481e-03,1.422317046672105789e-02,-1.387798190116882324e-01,-4.736135482788085938e+00,-1.382908344268798828e+00
2.849014699459075928e-01,-2.574788406491279602e-02,-6.751357018947601318e-02,3.354563474655151367e+00,3.137030839920043945e+00,-2.244860887527465820e+00
1.360425055027008057e-01,-2.464284747838973999e-02,-2.514350228011608124e-02,-2.139843404293060303e-01,-1.466465830802917480e+00,-8.129181861877441406e+00
1.811324357986450195e-01,-6.609266996383666992e-02,2.699430659413337708e-02,1.224042847752571106e-01,7.909029722213745117e-01,-1.239071846008300781e+01
3.342786133289337158e-01,-1.912984624505043030e-02,1.871210038661956787e-01,7.458094954490661621e-01,-1.184925794601440430e+00,-1.581683826446533203e+01
1.774438023567199707e-01,-9.561894088983535767e-02,-5.395097658038139343e-03,-1.700008034706115723e+00,-2.351412773132324219e+00,-1.128835678100585938e+01
1.450892090797424316e-01,-8.417484164237976074e-02,9.040441364049911499e-04,-1.068393945693969727e+00,8.305936455726623535e-01,-1.941910934448242188e+01
1.269952356815338135e-01,-9.129034727811813354e-02,1.518641598522663116e-02,-7.120917439460754395e-01,-2.508796691894531250e+00,-1.957407569885253906e+01
1.071562469005584717e-01,-6.891240179538726807e-02,-5.952931940555572510e-03,-5.490323901176452637e-01,1.386408329010009766e+00,-1.933343696594238281e+01
1.244462132453918457e-01,-6.885548681020736694e-02,2.732314169406890869e-05,-4.108855128288269043e-01,7.652445137500762939e-02,-1.068296718597412109e+01
