71,1580211565644024677.png,16,1580211551545005788.png,0.49907547,0.10112812,0.07867552,-0.6708796,-3.6366308,7.6844764,2.5149562,0.5179998,0.2761572,10.713337,8.996738,14.357097
77,1580211567177044729.png,24,1580211553676989438.png,0.27487022,0.043058008,0.032426905,-0.4079197,-2.1844149,0.4763673,1.4335316,0.43949533,0.24534076,10.277124,5.0945597,25.377403
78,1580211567410792581.png,25,1580211553977425923.png,4.242181,-0.89071053,0.39740855,-0.7736499,-3.4535072,7.176634,4.020755,0.7478832,0.27790082,10.074907,8.262855,12.727552
89,1580211570244437525.png,36,1580211556744557692.png,0.21621907,-0.14247485,0.025617471,0.36195984,-0.16392425,-3.364766,0.44872892,0.27100432,0.20289141,8.461851,4.743291,7.1503353
89,1580211570244437525.png,37,1580211556976915651.png,0.6350427,0.05985973,0.08933521,-0.09602205,-1.5360105,9.852922,5.30249,0.623946,0.32229388,11.851524,15.144256,20.137579
92,1580211570978884059.png,39,1580211557477078587.png,0.07926039,-0.14345081,-0.003734829,1.1320316,2.4762316,-2.2173526,0.28225243,0.1982401,0.1517415,8.522659,4.8468485,6.4438863
93,1580211571310982115.png,41,1580211557977162856.png,0.10204179,-0.080927484,0.020620847,0.76630944,1.6385694,9.969824,1.1711032,0.46650642,0.37288892,8.546046,6.8989434,11.378511
94,1580211571544721260.png,40,1580211557710239607.png,0.0714832,-0.14925699,0.017839707,1.6746625,3.0367608,-8.355438,0.5434168,0.24364883,0.1706534,9.882692,6.1682496,9.227407
96,1580211572044236842.png,43,1580211558510483985.png,-0.02769059,-0.088369325,0.00022752397,-0.35455048,-1.3587569,5.0748706,0.41017413,0.30105007,0.22416419,7.5835314,3.8934052,5.4919734
98,1580211572644274808.png,46,1580211559243562243.png,-0.037506636,-0.08928166,-0.012611235,0.2994411,0.31010717,3.7770975,0.55400366,0.3225274,0.2201423,8.038273,4.3198724,5.792352
102,1580211573610778102.png,50,1580211560244043046.png,0.0010721162,-0.06481004,0.02050863,0.21910295,-0.69855875,-2.273896,0.92108935,0.38168263,0.24218684,8.251858,4.544281,25.999325
110,1580211575643947339.png,57,1580211562044519633.png,-0.10496246,-0.09419209,0.004989868,-0.09876459,-0.8901121,0.87505907,0.34209394,0.24306625,0.16288555,7.929395,3.9887357,5.8380537
113,1580211576378097935.png,8,1580211549477306897.png,-0.08149842,1.8463473,1.4256344,-0.53079414,-6.49128,-6.8870864,5.7909937,11.51886,7.8943405,14.57012,16.721634,20.552475
113,1580211576378097935.png,61,1580211563077415126.png,0.27990758,1.4281025,1.0164182,1.1923248,-2.7123494,-13.732457,4.957778,9.605378,6.5962515,13.514723,11.308886,17.89435
121,1580211578410928656.png,15,1580211551343734419.png,0.09493645,-0.04351154,0.028997479,-0.15218896,-4.3080187,-7.9639115,0.9827117,0.3822729,0.24559897,10.728736,6.2704487,11.296517
122,1580211578677427536.png,14,1580211551077299429.png,0.79003483,0.16508564,0.07322733,-0.7688741,-5.092797,5.636253,2.9366832,0.49134457,0.26135695,11.805544,12.278002,17.548971
122,1580211578677427536.png,69,1580211565144357273.png,0.6034225,0.577404,0.26815844,-0.7229355,-2.7791643,7.813154,3.773102,5.0693016,0.28265548,8.847427,6.1733165,9.997702
122,1580211578677427536.png,70,1580211565377379168.png,0.31685314,-0.13565214,0.0383462,0.40355787,-0.3209454,-5.101952,0.5938915,0.31584942,0.24088132,9.085364,5.1437316,8.168608
122,1580211578677427536.png,71,1580211565644024677.png,0.029587269,-0.07288429,0.024400076,1.7689328,-0.3205254,-14.680171,1.220305,0.34973305,0.20702434,12.85479,8.943769,16.605068
123,1580211578878627407.png,16,1580211551545005788.png,0.41002396,1.1709948,0.6094801,-0.6072991,-3.1577735,4.4437304,0.31667036,0.81438696,0.6759696,9.234863,4.61185,7.50511
123,1580211578878627407.png,69,1580211565144357273.png,0.90843993,0.17385237,0.07902433,-0.48392123,-4.3999305,5.5207114,4.2021775,0.57979596,0.30201817,12.562851,15.493359,20.448936
123,1580211578878627407.png,70,1580211565377379168.png,0.23227781,-0.02893783,-0.004483195,-0.15806562,-0.5929359,2.5794435,0.53662795,0.33415818,0.23437393,7.803728,4.2032285,5.915771
